,household,date,score,t_out,t_unit,hvac
0,a1,2018-01-07,100.0,4.28337310850414,66.6932291666667,246.473230555556
1,a10,2018-01-07,100.0,4.28337310850414,66.3561342592595,5.49211611111111
2,a11,2018-01-07,58.0,4.28337310850414,71.5491319444439,402.094326666667
3,a12,2018-01-07,64.0,4.28337310850414,73.4295138888889,211.692243611111
4,a13,2018-01-07,100.0,4.28337310850414,63.9239365079362,0.850535833333333
7,a16,2018-01-07,56.0,4.28337310850414,66.9089699074074,529.843388611111
8,a2,2018-01-07,38.0,4.28337310850414,76.0631944444446,556.2061075
9,a3,2018-01-07,50.0,4.28337310850414,75.6771990740738,508.592283055556
10,a4,2018-01-07,99.0,4.28337310850414,67.7806134259262,0.0
11,a5,2018-01-07,64.0,4.28337310850414,74.8544560185184,286.01115
12,a6,2018-01-07,37.0,4.28337310850414,73.6981481481478,311.692945555556
13,a7,2018-01-07,68.0,4.28337310850414,75.3200520833332,213.848375555556
14,a8,2018-01-07,45.0,4.28337310850414,75.913657407407,417.548206944444
15,a9,2018-01-07,39.0,4.28337310850414,78.70943287037,495.227311111111
16,b17,2018-01-07,73.0,4.28337310850414,74.9134837962958,330.8917425
17,b18,2018-01-07,87.0,4.28337310850414,70.6083333333334,368.153883055556
18,b19,2018-01-07,29.0,4.28337310850414,76.2733796296292,0.0
19,b20,2018-01-07,69.0,4.28337310850414,74.781886574074,84.3274886111111
20,b21,2018-01-07,47.0,4.28337310850414,75.6717013888884,315.139566666667
21,b22,2018-01-07,63.0,4.28337310850414,75.4434606481484,126.834728333333
22,b23,2018-01-07,44.0,4.28337310850414,78.6188078703702,359.167521944444
23,b24,2018-01-07,100.0,4.28337310850414,66.6250000000003,6.09061055555556
24,b25,2018-01-07,72.0,4.28337310850414,74.8240740740741,181.085448888889
25,b26,2018-01-07,97.0,4.28337310850414,70.0141782407407,36.6458841666667
27,b28,2018-01-07,100.0,4.28337310850414,69.9891203703706,37.0728458333333
28,b29,2018-01-07,47.0,4.28337310850414,74.6075231481479,370.791197777778
29,b30,2018-01-07,99.0,4.28337310850414,71.4232060185182,23.6792630555556
30,b31,2018-01-07,43.0,4.28337310850414,74.6732638888887,520.907343888889
32,b33,2018-01-07,80.0,4.28337310850414,73.5038194444441,377.229975
